phase0,phase1,phase2,phase3,q_right,q_down,q_left,q_up,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,max_wait_right,max_wait_down,max_wait_left,max_wait_up,action
0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.2,0.0,0.6477777777777409,0.0,0.15374999999999125,0.0,0.7405555555555136,0.0,0.2799999999999841,3
1.0,0.0,0.0,0.0,0.0,0.15,0.05,0.05,0.0,0.5142592592592301,0.09611111111110565,0.19194444444443354,0.0,1.0,0.09611111111110565,0.19194444444443354,1
1.0,0.0,0.0,0.0,0.0,0.15,0.3,0.2,0.0,0.26712962962961445,0.3412037037036843,0.6449305555555189,0.0,0.3216666666666484,0.7619444444444011,1.0,2
0.0,1.0,0.0,0.0,0.2,0.05,0.2,0.1,0.08819444444443943,0.0,0.19006944444443363,0.07638888888888455,0.31083333333331564,0.0,0.5727777777777452,0.1527777777777691,0
0.0,0.0,0.0,1.0,0.05,0.15,0.05,0.05,0.11944444444443765,0.6305555555555197,0.10749999999999389,0.0,0.11944444444443765,1.0,0.10749999999999389,0.0,1
0.0,1.0,0.0,0.0,0.05,0.0,0.05,0.1,0.10333333333332746,0.0,0.3294444444444257,0.2126388888888768,0.10333333333332746,0.0,0.3294444444444257,0.4252777777777536,3
0.0,0.0,1.0,0.0,0.3,0.5,0.05,0.2,0.12699074074074876,0.444805555555577,0.0,0.9512500000000027,0.39416666666664424,1.0,0.0,1.0,1
1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.15,0.0,0.5043888888888989,0.4593055555555799,0.2113888888889241,0.0,1.0,0.8852777777777615,0.4194444444444914,2
0.0,1.0,0.0,0.0,0.1,0.05,0.2,0.05,0.21166666666673434,0.0,0.09958333333336473,0.20138888888897669,0.35277777777785696,0.0,0.3408333333334132,0.20138888888897669,2
0.0,0.0,0.0,1.0,0.05,0.0,0.05,0.0,0.32000000000008105,0.0,0.5461111111111793,0.0,0.32000000000008105,0.0,0.5461111111111793,0.0,0
1.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.37777777777789523,0.0,0.0,0.0,0.7294444444446585,0.0,2
0.0,0.0,1.0,0.0,0.15,0.1,0.05,0.05,0.35351851851873267,0.17638888888902926,0.0,0.46805555555585554,0.6194444444447359,0.25166666666686693,0.0,0.46805555555585554,0
0.0,0.0,1.0,0.0,0.1,0.3,0.0,0.3,0.0727777777778357,0.8246296296299599,0.0,0.3822222222224599,0.1455555555556714,1.0,0.0,0.8361111111114897,1
0.0,1.0,0.0,0.0,0.35,0.0,0.1,0.4,0.4799206349209371,0.0,0.2608333333335409,0.7700000000002356,0.7761111111113926,0.0,0.37750000000030043,1.0,3
0.0,0.0,1.0,0.0,0.05,0.1,0.05,0.05,0.0,0.15041666666678638,0.0,0.08138888888895365,0.0,0.20250000000016116,0.0,0.08138888888895365,1
1.0,0.0,0.0,0.0,0.0,0.1,0.15,0.05,0.0,0.44305555555590814,0.4348148148150387,0.7347222222227344,0.0,0.5183333333337459,0.9211111111114777,0.7347222222227344,2
0.0,1.0,0.0,0.0,0.3,0.0,0.1,0.55,0.2864814814816759,0.0,0.10611111111119556,0.6872979797982524,0.7622222222226273,0.0,0.21222222222239112,1.0,3
0.0,1.0,0.0,0.0,0.1,0.0,0.05,0.4,0.3788888888891904,0.0,0.16833333333346728,0.5461111111114959,0.4622222222225901,0.0,0.16833333333346728,1.0,3
