phase0,phase1,phase2,phase3,q_right,q_down,q_left,q_up,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,max_wait_right,max_wait_down,max_wait_left,max_wait_up,downstream_right,downstream_down,downstream_left,downstream_up,action
0.0,1.0,0.0,0.0,0.1,0.0,0.45,0.05,0.26638888888887374,0.0,0.40540123456787824,0.4144444444444209,0.4813888888888615,0.0,0.9313888888888361,0.4144444444444209,0.4666666666666667,0.0,0.0,0.23333333333333334,2
0.0,0.0,1.0,0.0,0.15,0.35,0.05,0.15,0.20287037037035882,0.4384920634920386,0.0,0.20851851851850667,0.32027777777775956,0.6780555555555171,0.0,0.34777777777775803,0.0,0.0,0.4,0.23333333333333334,1
0.0,0.0,1.0,0.0,0.05,0.1,0.0,0.05,0.26805555555554034,0.4147222222221986,0.0,0.2988888888888719,0.26805555555554034,0.6472222222221854,0.0,0.2988888888888719,0.2,0.2,0.0,0.0,1
1.0,0.0,0.0,0.0,0.05,0.2,0.15,0.05,0.0,0.09604166666666121,0.11425925925925277,0.06638888888888511,0.0,0.19916666666665533,0.2799999999999841,0.06638888888888511,0.0,0.4,0.06666666666666667,0.0,2
0.0,1.0,0.0,0.0,0.25,0.0,0.05,0.25,0.420888888888865,0.0,0.2622222222222073,0.3658888888888681,0.6702777777777397,0.0,0.2622222222222073,0.6977777777777381,0.0,0.0,0.3,0.36666666666666664,0
0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.05,0.5180555555555261,0.0,0.0,0.5488888888888577,0.5180555555555261,0.0,0.0,0.5488888888888577,0.26666666666666666,0.4,0.0,0.0,3
0.0,0.0,1.0,0.0,0.1,0.2,0.15,0.15,0.6997222222221825,0.42708333333330906,0.0,0.3529629629629429,0.9147222222221703,0.8222222222221754,0.0,0.8477777777777296,0.4,0.0,0.0,0.06666666666666667,0
0.0,0.0,1.0,0.0,0.1,0.3,0.05,0.15,0.09680555555560666,0.23902777777781134,0.0,0.11314814814817188,0.12444444444449397,0.432500000000032,0.0,0.2997222222222618,0.0,0.3,0.16666666666666666,0.0,1
0.0,0.0,0.0,1.0,0.05,0.0,0.2,0.0,0.7680555555556822,0.0,0.19625000000004758,0.0,0.7680555555556822,0.0,0.4711111111111762,0.0,0.26666666666666666,0.43333333333333335,0.0,0.0,0
1.0,0.0,0.0,0.0,0.1,0.05,0.2,0.25,0.7830555555555534,0.2294444444446017,0.17048611111116596,0.682555555555687,0.9980555555555413,0.2294444444446017,0.5788888888890262,1.0,0.0,0.0,0.43333333333333335,0.26666666666666666,3
1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.25,0.0,0.7104166666668392,0.14222222222233474,0.40077777777789986,0.0,1.0,0.25277777777797633,1.0,0.6333333333333333,0.0,0.0,0.2,3
0.0,1.0,0.0,0.0,0.15,0.05,0.1,0.4,0.3050925925928181,0.0,0.1411111111112234,0.5948611111113195,0.44111111111141266,0.0,0.2822222222224468,1.0,0.0,0.7333333333333333,0.13333333333333333,0.0,3
1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.44625000000024656,0.414398148148314,0.0,0.0,0.7211111111113752,1.0,0.6,0.3,0.0,0.0,3
0.0,0.0,0.0,1.0,0.2,0.5,0.45,0.0,0.6203472222224032,0.46133333333360393,0.25364197530880794,0.0,1.0,0.7977777777781004,0.9122222222226248,0.0,0.0,0.0,0.3,0.4,2
0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.0,0.0,0.8400000000003541,0.4755555555559334,0.0,0.0,1.0,0.586111111111575,0.0,0.8,0.0,0.0,0.2,1
0.0,0.0,0.0,1.0,0.05,0.1,0.25,0.0,0.239444444444635,0.04972222222226179,0.63700000000042,0.0,0.239444444444635,0.09944444444452358,1.0,0.0,0.5,0.6,0.0,0.0,2
0.0,0.0,0.0,1.0,0.35,0.2,0.2,0.0,0.5857142857146752,0.14875000000011837,0.3168055555558077,0.0,1.0,0.3561111111113945,0.6988888888894451,0.0,0.0,0.6,0.26666666666666666,0.0,0
